          楽曲名,難易度,楽曲レベル,クリアランク,スコアグレード,ハイスコア,EXスコア,プレー回数,クリア回数,ULTIMATE CHAIN,PERFECT
*Feels Seasickness...*,EXHAUST,18,EXCESSIVE COMPLETE,AAA+,9875989,0,2,1,0,0
*Feels Seasickness...*,MAXIMUM,20,EXCESSIVE COMPLETE,AAA+,9817828,8168,24,17,0,0
ゴーストルール,MAXIMUM,17,EXCESSIVE COMPLETE,S,9987792,0,9,8,0,0
すろぉもぉしょん,MAXIMUM,17,ULTIMATE CHAIN,S,9984237,0,5,5,1,0
セイシュンライナー,MAXIMUM,17,EXCESSIVE COMPLETE,S,9973204,0,2,2,0,0
モザイクロール,MAXIMUM,16,PERFECT,S,10000000,0,1,1,0,1
ALTONA,GRAVITY,18,EXCESSIVE COMPLETE,S,9949976,6190,1,1,0,0
She Turns Me On,GRAVITY,18,ULTIMATE CHAIN,S,9997838,6722,11,6,3,0
真っ白な靴,GRAVITY,18,COMPLETE,AAA+,9800242,6363,1,1,0,0
REDO the NIGHT,GRAVITY,18,EXCESSIVE COMPLETE,S,9984859,7292,2,1,0,0
アンハッピーリフレイン,MAXIMUM,17,PERFECT,S,10000000,0,6,6,3,1
Twilight ∞ nighT,MAXIMUM,17,PERFECT,S,10000000,0,2,2,1,1
Poison AND÷OR Affection,MAXIMUM,17,EXCESSIVE COMPLETE,S,9975806,5920,7,7,0,0
ローリンガール,MAXIMUM,16,PERFECT,S,10000000,0,3,3,1,1
Catch Our Fire!,MAXIMUM,18,EXCESSIVE COMPLETE,S,9963890,0,3,3,0,0
Divine's or Deal,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9781408,0,1,1,0,0
ファイナルレター,MAXIMUM,18,ULTIMATE CHAIN,S,9981042,0,6,5,1,0
ブチ上げ候！現代忍者三姉妹,MAXIMUM,17,EXCESSIVE COMPLETE,S,9991462,0,2,2,0,0
Musha Vibration,MAXIMUM,17,EXCESSIVE COMPLETE,S,9989788,0,9,9,0,0
†渚の小悪魔ラヴリィ～レイディオ†,MAXIMUM,18,EXCESSIVE COMPLETE,S,9979035,6648,6,6,0,0
Midnight City Warfare,MAXIMUM,18,COMPLETE,AAA+,9853455,0,1,1,0,0
ouroboros -twin stroke of the end-,MAXIMUM,18,EXCESSIVE COMPLETE,S,9953022,0,4,4,0,0
逆月,EXHAUST,17,ULTIMATE CHAIN,S,9987722,0,3,3,1,0
逆月,MAXIMUM,19,EXCESSIVE COMPLETE,S,9955607,7043,9,9,0,0
Xevel,MAXIMUM,18,EXCESSIVE COMPLETE,S,9961038,0,7,7,0,0
Taiko Drum Monster,MAXIMUM,18,EXCESSIVE COMPLETE,S,9911875,0,3,3,0,0
Elemental Creation,EXHAUST,17,EXCESSIVE COMPLETE,S,9971636,0,3,3,0,0
Elemental Creation,MAXIMUM,19,EXCESSIVE COMPLETE,S,9966252,0,16,15,0,0
Empathetic,MAXIMUM,17,EXCESSIVE COMPLETE,S,9973304,0,1,1,0,0
お米の美味しい炊き方、そしてお米を食べることによるその効果。,MAXIMUM,18,EXCESSIVE COMPLETE,S,9924859,0,1,1,0,0
GAIA,MAXIMUM,18,ULTIMATE CHAIN,S,9992997,7156,17,16,3,0
Synergy For Angels,MAXIMUM,17,EXCESSIVE COMPLETE,S,9950525,0,1,1,0,0
STULTI,MAXIMUM,18,ULTIMATE CHAIN,S,9997517,6090,37,34,7,0
創世ノート,MAXIMUM,17,EXCESSIVE COMPLETE,S,9989504,0,2,2,0,0
ラキラキ,MAXIMUM,17,EXCESSIVE COMPLETE,S,9977139,0,4,4,0,0
Invisible Bullets,MAXIMUM,17,PERFECT,S,10000000,0,5,5,2,1
